name,state,population,lat,lon,pleasant
orange,ca,140992,33.786971,-117.861265,0.2054794520547945
fullerton,ca,140847,33.885714,-117.928025,0.16164383561643836
killeen,tx,140806,31.077669,-97.731952,0.13774104683195593
dayton,oh,140599,39.777394,-84.199632,0.10136986301369863
mcallen,tx,140269,26.219652,-98.246648,0.11232876712328767
bellevue,wa,139820,47.597839,-122.156489,0.0027397260273972603
miramar,fl,137132,25.976953,-80.335829,0.3917808219178082
hampton,va,136454,37.04803,-76.297149,0.21643835616438356
warren,mi,135358,42.492904,-83.025001,0.0684931506849315
olathe,ks,134305,38.884279,-94.819468,0.1178082191780822
columbia,sc,133803,34.029783,-80.896566,0.13424657534246576
thornton,co,133451,39.91942,-104.942808,0.005479452054794521
carrollton,tx,133168,32.98836,-96.89977,0.1917808219178082
midland,tx,132950,32.028371,-102.112094,0.08767123287671233
charleston,sc,132609,32.81793,-79.95896,0
waco,tx,132356,31.560111,-97.186027,0.09315068493150686
sterling heights,mi,132052,42.581206,-83.030316,0.10684931506849316
denton,tx,131044,33.216629,-97.141376,0.07123287671232877
cedar rapids,ia,130405,41.967048,-91.67776,0.06301369863013699
new haven,ct,130322,41.310809,-72.924953,0
roseville,ca,130269,38.768199,-121.31662,0.0056022408963585435
gainesville,fl,130128,29.678832,-82.346103,0.18904109589041096
visalia,ca,130104,36.32692,-119.328906,0.019943019943019943
coral springs,fl,129485,26.270722,-80.259301,0.4175824175824176
thousand oaks,ca,129339,34.190258,-118.881101,0.09315068493150686
elizabeth,nj,129007,40.666367,-74.193503,0.13150684931506848
stamford,ct,128874,41.079857,-73.546028,0.09315068493150686
concord,ca,128667,37.972189,-122.001617,0
surprise,az,128422,33.670612,-112.452674,0.0273972602739726
lafayette,la,127657,30.211573,-92.031394,0.20821917808219179
topeka,ks,127265,39.03468,-95.694825,0.0821917808219178
kent,wa,126952,47.38797,-122.212727,0
simi valley,ca,126788,34.266887,-118.748458,0.0684931506849315
santa clara,ca,126215,37.364626,-121.967927,0
murfreesboro,tn,126118,35.852164,-86.416022,0.0684931506849315
hartford,ct,124006,41.765933,-72.681579,0.08493150684931507
athens-clarke county unified government,ga,123912,33.949597,-83.370088,0.1178082191780822
victorville,ca,122225,34.527735,-117.353579,0.03561643835616438
abilene,tx,121721,32.454514,-99.738147,0.06027397260273973
vallejo,ca,121253,38.107921,-122.263964,0
berkeley,ca,120972,37.866972,-122.299147,0
norman,ok,120284,35.240569,-97.345299,0.15616438356164383
allentown,pa,120207,40.593648,-75.478393,0.0547945205479452
evansville,in,119943,37.987737,-87.534705,0.12602739726027398
columbia,mo,119108,38.94729,-92.326387,0.1095890410958904
odessa,tx,118968,31.88378,-102.341062,0.1043956043956044
fargo,nd,118523,46.865389,-96.829027,0.03561643835616438
beaumont,tx,118129,30.084913,-94.14531,0.1506849315068493
independence,mo,117255,39.085471,-94.352099,0.12602739726027398
ann arbor,mi,117070,42.275686,-83.731449,0.03581267217630854
el monte,ca,116732,34.074633,-118.029136,0.35082872928176795
springfield,il,116565,39.791063,-89.644572,0.10136986301369863
round rock,tx,115997,30.523716,-97.667363,0.19726027397260273
wilmington,nc,115933,34.209225,-77.885767,0
arvada,co,115368,39.833728,-105.150306,0.005479452054794521
provo,ut,115264,40.24533,-111.644807,0.01643835616438356
peoria,il,115070,40.751516,-89.61736,0.09863013698630137
lansing,mi,115056,42.714341,-84.560889,0.0547945205479452
downey,ca,114219,33.938237,-118.130856,0.18904109589041096
carlsbad,ca,113453,33.123909,-117.282835,0.2356164383561644
costa mesa,ca,113204,33.665905,-117.912336,0.2054794520547945
miami gardens,fl,113187,25.948877,-80.243582,0.39452054794520547
westminster,co,113130,39.88219,-105.064426,0.005479452054794521
clearwater,fl,113003,27.980289,-82.768166,0
fairfield,ca,112970,38.256757,-122.039719,0.010958904109589041
rochester,mn,112225,44.015442,-92.47721,0.06301369863013699
elgin,il,112111,42.039639,-88.321709,0.07123287671232877
temecula,ca,112011,33.493082,-117.13173,0
west jordan,ut,111946,40.602257,-112.000962,0.043835616438356165
inglewood,ca,111666,33.956068,-118.344274,0.23013698630136986
richardson,tx,110815,32.972291,-96.708069,0.1917808219178082
lowell,ma,110699,42.63898,-71.321141,0.057534246575342465
gresham,or,110553,45.502319,-122.441609,0.0027397260273972603
antioch,ca,110542,37.977541,-121.797618,0
cambridge,ma,110402,42.376043,-71.11868,0
high point,nc,110268,35.986122,-79.989614,0.16164383561643836
billings,mt,110263,45.789518,-108.549891,0
manchester,nh,110229,42.984941,-71.444131,0.0547945205479452
murrieta,ca,109830,33.572134,-117.190444,0
centennial,co,109741,39.590568,-104.869118,0
san buenaventura (ventura),ca,109708,34.26778,-119.254206,0.10136986301369863
richmond,ca,109708,37.952278,-122.360609,0
pueblo,co,109412,38.269934,-104.612294,0.005479452054794521
pearland,tx,108821,29.555761,-95.32307,0.18356164383561643
waterbury,ct,108802,41.5585,-73.036685,0.09041095890410959
west covina,ca,108484,34.055941,-117.909937,0.35082872928176795
north charleston,sc,108304,32.917825,-80.065028,0.1643835616438356
everett,wa,108010,47.956561,-122.191358,0
college station,tx,107889,30.585379,-96.295153,0.15342465753424658
palm bay,fl,107888,27.985624,-80.662621,0.410958904109589
pompano beach,fl,107762,26.241622,-80.133852,0.48626373626373626
boulder,co,107349,40.027443,-105.25174,0.00558659217877095
norwalk,ca,107140,33.9076,-118.083453,0.16164383561643836
west palm beach,fl,106779,26.746362,-80.12506,0.4684931506849315
broken arrow,ok,106563,36.036529,-95.780996,0.06027397260273973
sandy springs,ga,105330,33.931502,-84.368673,0.14794520547945206
burbank,ca,105319,34.190079,-118.326405,0.1178082191780822
green bay,wi,105207,44.520676,-87.984169,0.03561643835616438
santa maria,ca,105093,34.933214,-120.443815,0.00821917808219178
wichita falls,tx,104710,33.906653,-98.525853,0.07163323782234957
lakeland,fl,104401,28.055494,-81.954916,0.3698630136986301
clovis,ca,104180,36.828955,-119.686594,0.024657534246575342
lewisville,tx,104039,33.046551,-96.981826,0.1917808219178082
tyler,tx,103700,32.317258,-95.305886,0.1095890410958904
el cajon,ca,103679,32.8017,-116.960379,0.11232876712328767
san mateo,ca,103536,37.56031,-122.3106,0.01643835616438356
rialto,ca,103132,34.111784,-117.388287,0.2111111111111111
davenport,ia,102582,41.554104,-90.603997,0.06575342465753424
hillsboro,or,102347,45.530767,-122.937143,0.0027397260273972603
las cruces,nm,101643,32.326444,-106.789695,0.11232876712328767
south bend,in,101516,41.67685,-86.269043,0.09315068493150686
vista,ca,100890,33.189541,-117.238608,0.2356164383561644
greeley,co,100883,40.414034,-104.771043,0
davie,fl,100882,26.079142,-80.285028,0.39452054794520547
san angelo,tx,100450,31.441078,-100.450499,0.07123287671232877
jurupa valley,ca,100314,34.002591,-117.467612,0.043835616438356165
renton,wa,100242,47.476058,-122.191974,0.0027397260273972603
roanoke,va,99897,37.278458,-79.958174,0.12602739726027398
kenosha,wi,99858,42.585439,-87.873667,0.038356164383561646
erie,pa,99475,42.116594,-80.073503,0.09041095890410959
albany,ny,98469,42.665745,-73.798353,0.0547945205479452
compton,ca,98462,33.894047,-118.227469,0.23013698630136986
tuscaloosa,al,98332,33.234404,-87.5283,0
flint,mi,98310,43.024419,-83.691964,0.0547945205479452
allen,tx,98143,33.109736,-96.673032,0.07671232876712329
mission viejo,ca,97156,33.609335,-117.656471,0.2054794520547945
vacaville,ca,96803,38.357372,-121.969452,0
lawton,ok,96655,34.617048,-98.4204,0.052054794520547946
beaverton,or,96577,45.47983,-122.814992,0.0027397260273972603
south gate,ca,96401,33.944159,-118.192761,0.15342465753424658
portsmouth,va,96201,36.85943,-76.356269,0
sparks,nv,96094,39.569256,-119.706923,0.0027397260273972603
brockton,ma,95314,42.082543,-71.024638,0.06371191135734072
federal way,wa,95171,47.308837,-122.336104,0
dearborn,mi,95171,42.313057,-83.211488,0.0684931506849315
lee's summit,mo,95094,38.921601,-94.384763,0.12602739726027398
new bedford,ma,94958,41.661303,-70.937913,0.06027397260273973
spokane valley,wa,94919,47.663353,-117.23278,0
livonia,mi,94635,42.397183,-83.372319,0.0684931506849315
roswell,ga,94501,34.039453,-84.350946,0.14794520547945206
orem,ut,94457,40.298766,-111.698992,0.01643835616438356
rio rancho,nm,94171,35.28507,-106.698867,0.0027397260273972603
yuma,az,94139,32.516261,-114.521811,0.058011049723756904
lawrence,ks,93917,38.960029,-95.26293,0.06027397260273973
yakima,wa,93701,46.590938,-120.5494,0.0027397260273972603
quincy,ma,93618,42.261006,-71.008988,0.06371191135734072
sandy,ut,93613,40.569403,-111.851569,0.043835616438356165
hesperia,ca,93295,34.397038,-117.315198,0.03561643835616438
carson,ca,93281,33.840367,-118.249574,0.4257142857142857
boca raton,fl,93235,26.372419,-80.103697,0.5457063711911357
santa monica,ca,93220,34.023413,-118.481666,0
san marcos,ca,92931,33.133893,-117.169367,0.2356164383561644
sunrise,fl,92700,26.171601,-80.261633,0.4175824175824176
plantation,fl,92560,26.125611,-80.261813,0.4175824175824176
lynn,ma,92457,42.474862,-70.962185,0.06593406593406594
miami beach,fl,92312,25.815265,-80.139721,0
westminster,ca,92114,33.752292,-117.993874,0.15342465753424658
longmont,co,92088,40.169842,-105.099006,0.005633802816901409
santa barbara,ca,91842,34.400601,-119.712955,0
redding,ca,91582,40.567432,-122.364827,0.00821917808219178
meridian,id,90739,43.618029,-116.39801,0.01643835616438356
san leandro,ca,90712,37.703368,-122.163036,0
greenville,nc,90597,35.596431,-77.375256,0.22465753424657534
chico,ca,90316,39.755405,-121.81839,0.1178082191780822
edmond,ok,90092,35.673807,-97.413076,0.0821917808219178
nampa,id,89839,43.583488,-116.564168,0.01643835616438356
newton,ma,88817,42.331876,-71.208402,0
fall river,ma,88777,41.725351,-71.094162,0
carmel,in,88713,39.965479,-86.148369,0.10027855153203342
fishers,in,88658,39.961779,-85.968408,0.10027855153203342
asheville,nc,88512,35.570977,-82.552738,0.0027397260273972603
norwalk,ct,88485,41.092739,-73.419796,0
waukegan,il,88475,42.369447,-87.870898,0.043835616438356165
deltona,fl,88474,28.905121,-81.210978,0.2602739726027397
hawthorne,ca,88451,33.914775,-118.348083,0.23013698630136986
fort smith,ar,88194,35.347267,-94.370026,0.0684931506849315
suffolk,va,88161,36.697157,-76.634781,0.15616438356164383
sugar land,tx,88156,29.599277,-95.630648,0.16712328767123288
livermore,ca,88126,37.685467,-121.762518,0.0027397260273972603
nashua,nh,87970,42.749074,-71.490544,0.04419889502762431
reading,pa,87879,40.33922,-75.926277,0.07671232876712329
concord,nc,87696,35.392048,-80.635543,0.22465753424657534
indio,ca,87533,33.732419,-116.238749,0.010958904109589041
whittier,ca,87438,33.966827,-118.020122,0.16164383561643836
kirkland,wa,87281,47.699461,-122.198673,0
menifee,ca,87174,33.689858,-117.184383,0.038356164383561646
newport beach,ca,87127,33.597133,-117.890263,0.2054794520547945
tracy,ca,87075,37.724597,-121.445538,0.0027397260273972603
citrus heights,ca,87056,38.694778,-121.287993,0.0056022408963585435
bend,or,87014,44.056683,-121.307991,0.002890173410404624
bloomington,mn,86435,44.829666,-93.315217,0.07397260273972603
clifton,nj,86334,40.862137,-74.160393,0.09863013698630137
duluth,mn,86110,46.783229,-92.11871,0.01643835616438356
champaign,il,86096,40.115057,-88.273652,0.08767123287671233
chino,ca,85595,33.974474,-117.657841,0.038356164383561646
alhambra,ca,85551,34.083571,-118.136444,0.35082872928176795
ogden,ut,85444,41.228391,-111.968147,0.0136986301369863
bellingham,wa,85146,48.75262,-122.469657,0
o'fallon,mo,85040,38.783504,-90.715351,0.09315068493150686
hoover,al,84848,33.376949,-86.805579,0.17534246575342466
danbury,ct,84657,41.398741,-73.478103,0.057534246575342465
edinburg,tx,84497,26.318113,-98.161016,0.10410958904109589
